"Mar 08, 2018 ",32.691864,-97.417970,484391054052000,Block 2000,2,6050 southwest blvd,fort-worth,76109,tx,47,Car-Dependent,nan,nan,nan,nan,12850sqft,2200sqftyr, Office ,",Floors,3,Total,Size,33,584,sqft,Lot,Size,53,143,sqft,Year,Constructed,2008,Building,Class,B,Close,Highway,s,I,20,Close,To,Hulen,Mall,Cityview,Shopping,Center,Onsite,Parking,",3,33584sqft,53143sqft,nan,2008,B,nan,28492.0,0.144,0.38942,0.55289,0.05769,0.0,0.0,0.9247,0.3849,https://42floors.com/us/tx/fort-worth/6050-southwest-blvd
"Jul 27, 2018 ",32.803440,-96.799934,481130017031001,Block 1001,1,3232 mckinney ave,dallas,75204,tx,87,Very Walkable,,,71,Very Bikeable,2820sqft,2800sqftyr, Office Retail ,",Floors,15,Total,Size,263,921,sqft,Lot,Size,2,acres,Parking,Ratio,3,1000,Year,Constructed,1985,Year,Renovated,2010,Building,Class,A,LEED,Certification,Silver,Construction,Type,Glass,Close,Public,Transit,McKinney,Avenue,Trolley,Line,Close,To,Dallas,Fort,Worth,International,Airport,Dallas,Love,Field,Gym,Onsite,Parking,Parking,Garage,Key,Card,Access,Lobby,Attendant,On,Site,Security,",15,263921sqft,2acres,3 1000,1985,A,nan,101522.0,0.19,0.0,0.24014,0.36192,0.247,0.1509,0.9342,0.7978,https://42floors.com/us/tx/dallas/3232-mckinney-ave
"Aug 20, 2018 ",32.857613,-96.932890,481130142051013,Block 1013,1,600 e john carpenter fwy,irving,75062,tx,41,Car-Dependent,,,nan,nan,930sqft,2310sqftyr, Office ,",Floors,3,Total,Size,80,468,sqft,Elevator,1,Close,Public,Transit,Arapaho,Center,Station,DART,Close,Highway,s,Route,114,Loop,12,183,Close,To,Las,Colinas,Country,Club,Dallas,Fort,Worth,International,Airport,Dallas,Love,Field,Bank,of,Las,Colinas,Chase,Bank,Onsite,Parking,",3,80468sqft,nan,nan,nan,nan,nan,175838.0,0.19,0.04607,0.08943,0.14092,0.36314,0.3604,1.0,0.6825,https://42floors.com/us/tx/irving/600-e-john-carpenter-fwy
"Jul 27, 2018 ",32.810238,-96.805810,481130006052001,Block 2001,2,3710 rawlins st,dallas,75219,tx,74,Very Walkable,,,76,Very Bikeable,3490sqft,2400sqftyr, Sublease Office ,",Floors,16,Total,Size,172,912,sqft,Parking,Ratio,2,8,1000,Elevator,1,Year,Constructed,1988,Building,Class,A,LEED,Certification,Silver,Construction,Type,Brick,Steel,Glass,Close,To,Love,Field,Airport,Dallas,Fort,Worth,International,Airport,Onsite,Parking,Parking,Garage,Key,Card,Access,Lobby,Attendant,On,Site,Security,",16,172912sqft,nan,28 1000,1988,A,nan,103122.0,0.19,0.09524,0.05345,0.36152,0.39456,0.0952,0.9186,0.5561,https://42floors.com/us/tx/dallas/3710-rawlins-st
"Mar 09, 2018 ",32.847397,-97.343100,484391140032034,Block 2034,2,1120 s blue mound rd,saginaw,76131,tx,24,Car-Dependent,,,35,Somewhat Bikeable,3000sqft,2000mo, Industrial ,",Floors,1,Total,Size,44,836,sqft,Lot,Size,3,acres,Zoning,HI,Year,Constructed,1975,Building,Class,C,",1,44836sqft,3acres,nan,1975,C,HI,52036.0,0.144,0.20411,0.32609,0.40459,0.06522,0.0,0.8769,0.1574,https://42floors.com/us/tx/saginaw/1120-s-blue-mound-rd
"Apr 24, 2018 ",32.924423,-96.786140,481130132003002,Block 3002,3,12720 hillcrest rd,dallas,75230,tx,36,Car-Dependent,,,64,Bikeable,9630sqft,1400sqftyr, Office ,",Floors,10,Total,Size,168,189,sqft,Lot,Size,6,acres,Parking,Ratio,3,7,1000,Zoning,Year,Constructed,1982,Year,Renovated,2013,Building,Class,B,Number,of,Buildings,1,Close,Highway,s,635,Onsite,Parking,Parking,Garage,",10,168189sqft,6acres,37 1000,1982,B,,162346.0,0.19,0.04836,0.14821,0.14821,0.36506,0.2902,1.0,0.7931,https://42floors.com/us/tx/dallas/12720-hillcrest-rd
"Jul 12, 2018 ",32.779730,-97.348010,484391009002011,Block 2011,2,1500 n main st,fort-worth,76164,tx,63,Somewhat Walkable,,,64,Bikeable,250sqft,2100sqftyr, Office ,",Floors,2,Total,Size,44,076,sqft,Year,Constructed,2006,Close,Highway,s,I,35W,183,199,Onsite,Parking,",2,44076sqft,nan,nan,2006,nan,nan,24686.0,0.144,0.5475,0.2575,0.145,0.05,0.0,0.2978,0.0922,https://42floors.com/us/tx/fort-worth/1500-n-main-st
"Jun 16, 2018 ",32.780070,-96.806290,481130031012006,Block 2006,2,208 n market st,dallas,75202,tx,88,Very Walkable,,,64,Bikeable,1340sqft,NotProvided, Retail ,",Total,Size,62,000,sqft,Zoning,Year,Constructed,1905,Year,Renovated,2001,Building,Class,B,Close,Public,Transit,DART,Rail,Station,Close,Highway,s,I,30,I,35,I,45,Route,75,",nan,62000sqft,nan,nan,1905,B,,83042.0,0.19,0.07323,0.15217,0.4405,0.27803,0.0561,0.8147,0.4264,https://42floors.com/us/tx/dallas/208-n-market-st
"Aug 20, 2018 ",32.783040,-96.795340,481130031011005,Block 1005,1,1910 pacific ave,dallas,75201,tx,89,Very Walkable,,,71,Very Bikeable,380sqft,1820sqftyr, Office ,",Floors,20,Total,Size,324,153,sqft,Parking,Ratio,1,1,1000,Elevator,1,Year,Constructed,1982,Year,Renovated,2012,Building,Class,B,Construction,Type,Brick,Glass,Close,Public,Transit,DART,St,Paul,Station,Close,Highway,s,Route,75,I,30,Close,To,Pacific,Place,Majestic,Theatre,Hotel,Indigo,Akard,The,Joule,ADA,Accessible,Key,Card,Access,On,Site,Security,",20,324153sqft,nan,11 1000,1982,B,nan,52342.0,0.19,0.13548,0.39247,0.36129,0.09355,0.0172,0.8073,0.3925,https://42floors.com/us/tx/dallas/1910-pacific-ave
"Aug 20, 2018 ",32.838790,-97.021820,481130141164006,Block 4006,4,2300 valley view ln,irving,75062,tx,20,Car-Dependent,,,nan,nan,170sqft,2047sqftyr, Office ,",Floors,10,Total,Size,148,981,sqft,Elevator,1,Construction,Type,Glass,Close,Highway,s,TX,183,TX,360,Close,To,Dallas,Fort,Worth,International,Airport,Swift,Airport,Parking,Ltd,Courtyard,Dallas,Hotel,Embassy,Suites,Hotel,Irving,Mall,Walmart,Gym,Onsite,Parking,Key,Card,Access,",10,148981sqft,nan,nan,nan,nan,nan,31706.0,0.19,0.36571,0.48571,0.14857,0.0,0.0,0.8565,0.2363,https://42floors.com/us/tx/irving/2300-valley-view-ln
